@RELATION BothInningResults

@attribute 'InningId' numeric
@attribute 'BoundaryRuns Presentage' numeric
@attribute 'avgMeanRunsInBattingSegment' numeric
@attribute 'avgPressureFactor' numeric
@attribute 'averageRunsInBattingSegment' numeric
@attribute 'dotBowlPresentage' numeric
@attribute 'dotBowlToRunsRatio' numeric
@attribute 'FirstBatOrSecondBat' {1,2}
@attribute 'fourHitting Frequency' numeric
@attribute 'matchId' numeric
@attribute 'numberOfBattingSegment' numeric
@attribute 'numberOfWicketsLost' numeric
@attribute 'sixHittingFrequency' numeric
@attribute 'Class' {win,loss}

@data
1,27.027027027027028,3.8679245283018866,1.5849056603773586,3.8679245283018866,29.032258064516128,0.16216216216216217,1,12.096774193548388,1,53,3,11.290322580645162,win
2,14.634146341463415,1.3404255319148937,0.5319148936170213,1.3404255319148937,49.504950495049506,0.6097560975609756,2,2.9702970297029703,1,47,10,2.9702970297029703,loss
3,33.333333333333336,4.415094339622642,1.3773584905660377,4.415094339622642,27.419354838709676,0.14166666666666666,1,16.129032258064516,2,53,5,12.903225806451612,win
4,34.78260869565217,2.8405797101449277,1.144927536231884,2.8405797101449277,18.548387096774192,0.1111111111111111,2,14.516129032258064,2,69,4,7.258064516129032,loss
5,43.41085271317829,2.259259259259259,0.8333333333333334,2.259259259259259,44.26229508196721,0.4186046511627907,1,11.475409836065573,3,54,8,2.459016393442623,loss
6,54.54545454545455,2.8372093023255816,1,2.8372093023255816,31.95876288659794,0.23484848484848486,2,18.556701030927837,3,43,1,1.0309278350515463,win
7,43.63636363636363,2.40625,1.015625,2.40625,36.58536585365854,0.2727272727272727,1,14.634146341463415,4,64,7,4.065040650406504,loss
8,36.144578313253014,2.7288135593220337,0.9661016949152542,2.7288135593220337,29.26829268292683,0.21686746987951808,2,12.195121951219512,4,59,5,4.878048780487805,win
9,21.818181818181817,1.8867924528301887,0.7924528301886793,1.8867924528301887,52.54237288135593,0.5636363636363636,1,5.084745762711864,5,53,10,5.084745762711864,loss
10,17.857142857142858,1.6470588235294117,0.6666666666666666,1.6470588235294117,50,0.5446428571428571,2,4.098360655737705,5,51,5,3.278688524590164,win
11,43.373493975903614,3,1.0925925925925926,3,44.26229508196721,0.3253012048192771,1,14.754098360655737,6,54,8,5.737704918032787,loss
12,40.476190476190474,3.627906976744186,1.1162790697674418,3.627906976744186,39.49579831932773,0.27976190476190477,2,14.285714285714286,6,43,4,5.882352941176471,win
13,33.80281690140845,2.537037037037037,1,2.537037037037037,45.90163934426229,0.39436619718309857,1,9.836065573770492,7,54,8,4.918032786885246,loss
14,41.95804195804196,3.275,1.075,3.275,31.325301204819276,0.18181818181818182,2,18.072289156626507,7,40,1,7.228915662650603,win
15,46.15384615384615,3.7254901960784315,1.3333333333333333,3.7254901960784315,29.133858267716537,0.1778846153846154,1,18.89763779527559,8,51,5,4.724409448818897,win
16,37.62376237623762,3.5660377358490565,1.2264150943396226,3.5660377358490565,29.6875,0.18811881188118812,2,14.84375,8,53,7,6.25,loss
17,44.85981308411215,3.8518518518518516,1.4444444444444444,3.8518518518518516,29.365079365079364,0.17289719626168223,1,19.047619047619047,9,54,5,7.142857142857143,loss
18,33.17972350230415,3.230769230769231,1.3076923076923077,3.230769230769231,27.868852459016395,0.15668202764976957,2,14.754098360655737,9,65,7,11.475409836065573,win
19,39.56043956043956,3.0172413793103448,1.1379310344827587,3.0172413793103448,32.25806451612903,0.21978021978021978,1,14.516129032258064,10,58,10,4.032258064516129,win
20,41.37931034482759,1.981818181818182,0.7454545454545455,1.981818181818182,54.76190476190476,0.5948275862068966,2,9.523809523809524,10,55,9,3.1746031746031744,loss
